Municipio;CodPonto;SEQID;SistHidrico;Coleta_Data;Cloreto Total;Condutividade;Escherichia coli**;Fósforo Total;Oxigênio Dissolvido;Sólido Dissolvido Total;Sólido Total;Temperatura da Água;Turbidez;pH
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;14/01/2016;12,5;151;12;0,007;7,7;168;186;25,9;7,73;6,64
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;30/03/2016;14;154;41;0,018;8;98;104;23,7;3,31;7,28
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;05/05/2016;14;161;36;0,01;7,7;84;84;22,9;2,52;7,43
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;27/07/2016;12,8;151;13;0,02;7,6;126;126;18,8;5,91;7
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;08/09/2016;12,5;151;69;0,012;8,5;128;132;19,5;6,36;5,94
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;16/11/2016;10,4;115;236;0,007;7,1;58;120;20;2,49;7,11
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;26/01/2017;14,1;155;16;0,024;7,9;116;194;24,5;5,77;6,33
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;28/03/2017;12,5;142;9;0,014;7,3;50;68;23,7;2,5;6,84
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;23/05/2017;12,7;139;33;0,013;8,8;94;102;20,4;2,7;6,79
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;25/07/2017;13,8;122;80;0,011;10,3;87;96;18,2;2,25;6,92
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;27/09/2017;12;131;15;0,007;7,9;126;220;21,1;4,35;7,88
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;30/11/2017;12,7;146;18;0,02;8,6;100;190;22,6;2,15;8,02
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;10/01/2018;13;139;112;0,015;7,2;140;390;24;2,54;7,7
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;07/03/2018;12,3;127;13;0,007;8;74;88;25,3;2,28;7,01
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;02/05/2018;10,8;109;36;0,011;8,6;82;88;23,5;2,09;7,45
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;31/07/2018;14,1;135;2;0,007;9,4;76;120;19,2;3,27;7,24
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;26/09/2018;13,2;144,1;15;0,007;9,4;144;194;21;1,99;8,21
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;28/11/2018;14,2;139;560;0,013;9,4;126;144;21,2;2,48;7,54
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;09/01/2019;12,9;148;25;0,016;8,2;76;82;26,3;2,44;7,14
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;13/03/2019;15,8;158;43;0,038;8,7;102;110;25;4,76;6,95
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;15/05/2019;11,2;122;12;0,009;8,1;86;94;23,2;2,97;7,18
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;24/07/2019;10,3;107;69;0,012;9,1;72;80;18,8;2,73;7,34
CUBATAO;CFUG02900;208;Canal de Fuga II da UHE Henry Borden - CFUG;11/09/2019;10,1;122;2;0,01;9,4;76;96;19,6;3,5;7,33
